ITEM NAME,ITEM PICTURE,ITEM TYPE (One letter),ITEM CLASS,ITEM RESTRICTION,Decked (Yes/No),Armor (no enchants),DESCRIPTION,CRAFT DESC,CRAFT LOCATION,CRAFT REQ#0 PREVIOUS TIER,CRAFT REQ#1,CRAFT REQ#2,CRAFT REQ#3,CRAFT REQ#4,CRAFT REQ#5,CRAFT REQ#6,CRAFT REQ#7,CRAFT REQ#8,CRAFT REQ#9,10,11,Price,ITEM NAME,PARENT,TOOLTIP
,,,,,,,,,,,,,,,,,,,,,,,,,
Padded Armor,4,C,C,A,Yes,15,"""The padded armor is thick, but uncomfortable. It should withstand most light blows.""",,,,,,,,,,,,,,,50,Padded Armor,,
Vest,98,C,C,A,Yes,18,"""A sleeveless and collarless shirt. How fashionable!""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Padded Armor,Ball of Cotton Thread,,,,,,,,,,,50,Vest,Padded Armor,
Kimono,159,C,C,A,Yes,20,"""The robe is plain but of function. The lightweight cloth allows full use of movement and articulation in combat.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Vest,Ball of Cotton Thread,Ball of Cotton Thread,,,,,,,,,,250,Kimono,Vest,
Judogi,158,C,C,A,Yes,24,"""This light single-weaved gi is extremely thin and preferred for long practice sessions. It prevents excessive overheating.""",Using the materials you've gathered you craft together a new piece of armor!,DuskanCraftsA1,Kimono,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,,,,,,Ruby,,,500,Judogi,Kimono,
Apprentice's Shozoku,159,C,C,A,Yes,26,"""Made especially for apprentice ninjas, it is simple in design and fabric. This is the perfect shozoku for beginners who are looking to hone their skills and improve their efficiency in battle by wearing a cheaper alternative Shozoku.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Judogi,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,Bundle of Furs,Parceled Seed Sprouts,Bone Dust,,,Pearl,,,1000,Apprentice's Shozoku,Judogi,
Grasshopper's Gi,160,C,C,A,Yes,26,"""This gi is white colored, and has green decorations on selective parts of the uniform. Naturally, this gi is for more proficient ninjas, but yet still acquiring the experience necessary to engage in formal battles. It has the word “grasshopper” painted in the back with eastern characters.""",Using the materials you've gathered you craft together a new piece of armor!,NinjaCrafts1,Judogi,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,Bundle of Furs,Wings of Glory,Spirit of the North Star,,,Amber,,,1000,Grasshopper's Gi,Judogi,
Samurai Robes,160,C,C,A,Yes,26,"""During their resting times, warriors in training are required to use a light robe that can protect and allow for extended mobility in case of an emergency. Thus these robes offer that said flexibility and lightness without heavily compromising their endurance.""",Using the materials you've gathered you craft together a new piece of armor!,MorduCraftsA1,Judogi,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,Bundle of Furs,Ironwood Burden,Shroud of Fear,,,Garnet,,,1000,Samurai Robes,Judogi,
Champion's Shozoku,158,C,C,A,Yes,28,"""Pride comes hand in hand with the suiting of the Champions Shozoku, as it bears the insignia of the Shadowfox clan, a famed training school for only the most prominent martial artists.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Apprentice's Shozoku,,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Bone Dust,Bone Dust,,Scarab Hive,Sapphire,,,1000,Champion's Shozoku,Apprentice's Shozoku,
Warrior's Kabuto,117,C,C,A,Yes,28,"""This brigandine is awarded to those proficient enough to go to war. The armor is extremely light, allowing to move swiftly and march great distance during wars. The Warrior’s Kabuto allows its wearer to perform efficient moving strikes to a foe with the least amount of movement possible.""",Using the materials you've gathered you craft together a new piece of armor!,NinjaCrafts1,Grasshopper's Gi,,Wings of Glory,Wings of Glory,Wings of Glory,Spirit of the North Star,Spirit of the North Star,,Dragon Essence ,Turquoise,,,1000,Warrior's Kabuto,Grasshopper's Gi,
Ronin Leathers,161,C,C,A,Yes,28,"""These leathers are worn by an errant warriors that wander all over the continent in search for perfecting their combat skills. Regardless of the climatic inconsistencies and constant wear, the leathers appear just as new and regain their defensive capabilities with age and may actually become stronger with use.""",Using the materials you've gathered you craft together a new piece of armor!,FLCraftsA1,Samurai Robes,,Ironwood Burden,Ironwood Burden,Ironwood Burden,Shroud of Fear,Shroud of Fear,,Obsidian Dust,Diamond,,,1000,Ronin Leathers,Samurai Robes,
Emperor's Kabuto,157,C,C,A,Yes,33,"""This Kabuto is exclusive to those strong enough to lead a nation, though not necessarily worn by an emperor as whoever is most qualified is crowned with such a piece as this. Delicately crafted with metals and jewels unknown on these lands, the armor is said to have been owned by a Great Emperor from the far east.""",Using the materials you've gathered you craft together a new piece of armor!,CastleCrafts,Champion's Shozoku,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Bone Dust,Bone Dust,Bone Dust,Scarab Hive,Scarab Hive,Naqri ,,,1000,Emperor's Kabuto,Champion's Shozoku,
Master's Yoroi,120,C,C,A,Yes,33,"""This armor is for high ranked warriors who have put themselves at risk in battle. It has delicate decorations made out of naqri, and is a very sturdy defence against swords, arrows and magic as well. There is a long road to be walked in order to obtain this armor and it is considered an honor beyond precedent.""",Using the materials you've gathered you craft together a new piece of armor!,NinjaCrafts2,Warrior's Kabuto,Wings of Glory,Wings of Glory,Wings of Glory,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Dragon Essence ,Dragon Essence ,Mithril,,,1000,Master's Yoroi,Warrior's Kabuto,
Shinobi Shadow Robes,105,C,C,A,Yes,33,"""These robes contribute to the level of endurance and agility a shinobi has acquired. Resembling a shadow themselves, the Shinobi Shadow Robes allow one to move like a shadow, even in the midday sun. The swiftness added by these robes also allow for discrete and efficient assassinations.""",Using the materials you've gathered you craft together a new piece of armor!,CataCrafts,Ronin Leathers,Ironwood Burden,Ironwood Burden,Ironwood Burden,Shroud of Fear,Shroud of Fear,Shroud of Fear,Obsidian Dust,Obsidian Dust,Liriumite,,,1000,Shinobi Shadow Robes,Ronin Leathers,
,,,,,,,,,,,,,,,,,,,,,,,,,
Torn Cloak,3,C,B,A,Yes,1,"""The cloak is torn and slashed and hardly useful for protection. Anyone can wear this.""",,,,,,,,,,,,,,,10,Torn Cloak,,
Cloak,3,C,B,A,Yes,10,"""The cloak is of a roughly woven fabric, but remarkably comfortable.""",Using the materials you've gathered you craft together a new piece of armor!,,Torn Cloak,Ball of Cotton Thread,,,,,,,,,,,50,Cloak,Torn Cloak,
Veil,220,C,B,A,Yes,13,"""Made of a translucent material that drapes lightly over the wearer, sadly the veil offers minimal protection from anything more sturdy than a dust cloud.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Cloak,Ball of Cotton Thread,Ball of Cotton Thread,,,,,,,,,,100,Veil,Cloak,
Robe,336,C,B,A,Yes,16,"""Crafted from finely spun Syndarian silk, this beautiful dark blue robe is a pleasure to view as well as to wear. Guaranteed to keep you cool on those hot summer nights.""",Using the materials you've gathered you craft together a new piece of armor!,DuskanCraftsA1,Veil,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,,,,,,Topaz,,,100,Robe,Veil,
Novice Robes,254,C,B,A,Yes,20,"""These completely unremarkable robes are standard issue for those mages who wish to undertake a life of serious academic studies. A dirty brown color and perpetually smelling of old books, they will not offer much protection.""",Using the materials you've gathered you craft together a new piece of armor!,EnchanterCrafts,Robe,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,Bundle of Furs,Water Orb Collective,Spirit of the North Star,,,Malachite,,,1000,Novice Robes,Robe,
Astral Duster,337,C,B,A,Yes,20,"""Space, the final frontier. The long jacket shimmers with a magic aura that moves across the silvery astral garb. Cowboy meets astrologist in a star spangled coat so prestigious that the Syndar varsity team wishes they had a jacket this cool.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Robe,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,Bundle of Furs,Brilliant Box,Collapsed Star ,,,Pearl,,,1000,Astral Duster,Robe,
Sorcerer's Aura,364,C,B,A,Yes,20,"""This cloak seems to be made more of arcane power than cloth as power crackles in the air around it and protects the wearer by deflecting attacks.""",Using the materials you've gathered you craft together a new piece of armor!,EnchanterCrafts,Robe,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Furs,Bundle of Furs,Golden Spool ,Crystalline Shard,,,Amber,,,1000,Sorcerer's Aura,Robe,
Magician's Cape,254,C,B,A,Yes,23,"""A modest conjurers cape of classic decor. It carries the symbolic eye of protection in large gold embroidery upon the flowing purple fabric.""",Using the materials you've gathered you craft together a new piece of armor!,EnchanterCrafts,Novice Robes,,Water Orb Collective,Water Orb Collective,Water Orb Collective,Spirit of the North Star,Spirit of the North Star,,Scarab Hive,Gold Bar,,,1000,Magician's Cape,Novice Robes,
Galactic Overcoat,337,C,B,A,Yes,23,""" As obscure as the sky itself, yet shimmering the most beautiful celestial bodies, this overcoat seems like a map of the universe itself. Stars, planets, quasars and black holes reflect themselves on this armor, offering cosmic defense.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Astral Duster,,Brilliant Box,Brilliant Box,Brilliant Box,Collapsed Star ,Collapsed Star ,,Obsidian Dust,Sapphire,,,1000,Galactic Overcoat,Astral Duster,
Spellslinger's Veil,364,C,B,A,Yes,23,"""A veil of constituted magicks and weird incantations of powerful orient. It is worn over the face of the caster to obscure the mouth from being read while chants and spells are being charged in battle.""",Using the materials you've gathered you craft together a new piece of armor!,EnchanterCrafts,Sorcerer's Aura,,Golden Spool ,Golden Spool ,Golden Spool ,Crystalline Shard,Crystalline Shard,,Infinite Puzzle,Turquoise,,,1000,Spellslinger's Veil,Sorcerer's Aura,
Conjurer's Raiment,254,C,B,A,Yes,26,"""Woven from fabric dyed a deep navy in color, this lightweight robe offers as much protection as tempered steel while allowing impeccable range of motion. Intricately embroidered runes of an arcane nature mark the length of the raiment.""",Using the materials you've gathered you craft together a new piece of armor!,EnchanterCrafts,Magician's Cape,Water Orb Collective,Water Orb Collective,Water Orb Collective,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Scarab Hive,Scarab Hive,Liriumite,,,1000,Conjurer's Raiment,Magician's Cape,
Infinite Attire,337,C,B,A,Yes,26,""" It is impossible to determine the creation date of this garment, possibly it has existed since the creation of the universe itself. This attire has delicate infinity signs woven with gold threads upon its fabric. Touching one of these symbols gives the wearer access to arcane knowledge.""",Using the materials you've gathered you craft together a new piece of armor!,CrystalCrafts,Galactic Overcoat,Brilliant Box,Brilliant Box,Brilliant Box,Collapsed Star ,Collapsed Star ,Collapsed Star ,Obsidian Dust,Obsidian Dust,Cerussite,,,1000,Infinite Attire,Galactic Overcoat,
Mantle of the Arcanist,364,C,B,A,Yes,26,"""Thin as fine lace and light as air, albeit strong as tempered steel, this cloak provides the strength to turn away all but the most determined of attacks. The lightness also offers the freedom of movement required for quick reactions and on-the-fly spell casting.""",Using the materials you've gathered you craft together a new piece of armor!,EnchanterCrafts,Spellslinger's Veil,Golden Spool ,Golden Spool ,Golden Spool ,Crystalline Shard,Crystalline Shard,Crystalline Shard,Infinite Puzzle,Infinite Puzzle,Naqri ,,,1000,Mantle of the Arcanist,Spellslinger's Veil,
Shroud,308,C,B,A,Yes,16,"""This cloth is made out of a delicate linen and is used extensively for burial purposes. It offers basic protection and is said to improve necromancy.""",Using the materials you've gathered you craft together a new piece of armor!,THCraftsA1,Veil,Ball of Cotton Thread,Ball of Cotton Thread,Basket of Bones,,,,,,Emerald,,,1000,Shroud,Veil,
Accursed Shroud,308,C,B,A,Yes,20,"""Targos cursed Nallyssa for eternity and some say this was the shroud placed upon her before her burial. Quite possibly desecrated from her tomb, this shroud is said to still live with the enraged cursed.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Shroud,Ball of Cotton Thread,Ball of Cotton Thread,Basket of Bones,Basket of Bones,Gloom Box,Shroud of Fear,,,Garnet,,,1000,Accursed Shroud,Shroud,
Bound Flesh,340,C,B,A,Yes,20,"""Roughly patched together segments of corpse flesh form this morbid cape. The flesh itself is embodied with dark magic, thus preventing decay and providing a good deal of protection.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Shroud,Ball of Cotton Thread,Ball of Cotton Thread,Basket of Bones,Basket of Bones,Heaps of Husks,Evil Tear,,,Obsidian,,,1000,Bound Flesh,Shroud,
Boneweave Manteau,254,C,B,A,Yes,20,"""This manteau has been woven with a strange thread made out of bone. How bones were processed into this form remains a secret and it may be best if it remains so. The result of weaving a manteau with this horror inspiring material is a lightweight, yet sturdy piece of armor that can withstand heavy blows from even the most heroic do gooder.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Shroud,Ball of Cotton Thread,Ball of Cotton Thread,Basket of Bones,Basket of Bones,Mound of Abhorrent Flesh,Venomous Kwiksilver,,,Malachite,,,1000,Boneweave Manteau,Shroud,
Haunted Spirits,308,C,B,A,Yes,23,"""This consolidation of spirits has been bound to this plane for unknown reasons. They cannot do more but concentrate themselves in this piece of armor and constantly spin and twirl around the armor, desperate to find a way to be released from their curse, but to no avail.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Accursed Shroud,,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,,Violent Essence,Diamond,,,1000,Haunted Spirits,Accursed Shroud,
Gravemaker Coat,340,C,B,A,Yes,23,"""The stench of death emanates from every thread of this morbid item of clothing. The coat is caked in ages old dirt, and is frayed around the edges.""",Using the materials you've gathered you craft together a new piece of armor!,TiaeiCraftsA1,Bound Flesh,,Heaps of Husks,Heaps of Husks,Heaps of Husks,Evil Tear,Evil Tear,,Flesh Equation,Aquamarine,,,1000,Gravemaker Coat,Bound Flesh,
Corpsemaster's Cassock,254,C,B,A,Yes,23,"""This cassock is imbued with brilliant green runes that radiate occult magic. Said to have been obtained from an ancient necropolis, this cassock will make pretty much any corpse respond to the corpse master's bidding, even if it is to take a mortal blow or two.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Boneweave Manteau,,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Venomous Kwiksilver,Venomous Kwiksilver,,Dragon Essence,Gold Bar,,,1000,Corpsemaster's Cassock,Boneweave Manteau,
Demonic Illusions,308,C,B,A,Yes,26,"""This crimson robe reflects illusions of the more vile and deadly demons ever known across the lands. These demons terrify the wearer’s foes, allowing him more time to focus on offensive spells.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Haunted Spirits,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,Shroud of Fear,Violent Essence,Violent Essence,Mithril,,,1000,Demonic Illusions,Haunted Spirits,
Deathly Voices,340,C,B,A,Yes,26,"""Made from similar material to a funeral shroud, the voices of the long departed seem to whisper from the beyond with every movement this heavy cloak makes.""",Using the materials you've gathered you craft together a new piece of armor!,CataCrafts,Gravemaker Coat,Heaps of Husks,Heaps of Husks,Heaps of Husks,Evil Tear,Evil Tear,Evil Tear,Flesh Equation,Flesh Equation,Liriumite,,,1000,Deathly Voices,Gravemaker Coat,
Re-animator Vestments,254,C,B,A,Yes,26,"""This crisp white laboratory coat seems to be old and well worn. There are stains on the cuffs from hitherto unknown potions formulated most likely in a mad lab. A name-tag above the breast pocket reads H. West in black embroidery.""",Using the materials you've gathered you craft together a new piece of armor!,DeathmageCrafts,Corpsemaster's Cassock,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Venomous Kwiksilver,Venomous Kwiksilver,Venomous Kwiksilver,Dragon Essence,Dragon Essence,Cerussite,,,1000,Re-animator Vestments,Corpsemaster's Cassock,
,,,,,,,,,,,,,,,,,,,,,,,,,
Torn Leather Armor,4,C,D,A,Yes,1,"""This leather is torn and slashed and hardly useful for protection. Only Sorcerors are unable to wear this.""",,,,,,,,,,,,,,,50,Torn Leather Armor,,
Leather Armor,4,C,D,A,Yes,20,"""The leather armor is thick and of good construction. It should withstand most average blows.""",Using the materials you've gathered you craft together a new piece of armor!,,Torn Leather Armor,Jug of Greenskin Glue,,,,,,,,,,,50,Leather Armor,Torn Leather Armor,
Padded Leather Armor,4,C,D,A,Yes,22,"""The padded armor is thick, but uncomfortable. It should withstand most light blows.""",Using the materials you've gathered you craft together a new piece of armor!,TerraCraftsA1,Leather Armor,Jug of Greenskin Glue,Jug of Greenskin Glue,,,,,,,,,,100,Padded Leather Armor,Leather Armor,
Jerkin,4,C,D,A,Yes,28,"""A light vest made of tanned leather. It’s stylish and offers some light protection.""",Using the materials you've gathered you craft together a new piece of armor!,DuskanCraftsA1,Padded Leather Armor,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,,,,,,Amethyst,,,250,Jerkin,Padded Leather Armor,
Novelist Tailcoat,105,C,Bard,A,Yes,35,"""A gentleman bards first suit. Pressed and flattened to a dignified and rather regal air, the novelist tailcoat is best worn when presenting noble poetry before the fanfare of a wealthy audience.""",Using the materials you've gathered you craft together a new piece of armor!,MinstrelCrafts,Jerkin,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,Satchel of Scales,Parceled Seed Sprouts,Spirit of the North Star,,,Obsidian,,,1000,Novelist Tailcoat,Jerkin,
Drudged Waistcoat,4,C,D,A,Yes,33,"""This waistcoat, while once beautiful, is now so dirt stained that its near impossible to tell its original color. The protective padding is still intact however, providing a bit of protection from stray attacks.""",Using the materials you've gathered you craft together a new piece of armor!,MorduArmor,Jerkin,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,Satchel of Scales,Satchel of Chess Pieces,Tormented Spirit,,,Malachite,,,1000,Drudged Waistcoat,Jerkin,
Briar Thread Jerkin,272,C,D,A,Yes,33,"""Made from padded leather sewn together with the fibrous stems of bramble plants, this protective vest can deflect most blows without restricting movement.""",Using the materials you've gathered you craft together a new piece of armor!,AghorinCraftsA1,Jerkin,Jug of Greenskin Glue,Jug of Greenskin Glue,Satchel of Scales,Satchel of Scales,Ironwood Burden,Crystalline Shard,,,Pearl,,,1000,Briar Thread Jerkin,Jerkin,
Prosaic Verse,269,C,Bard,A,Yes,37,"""Woven from fine silken thread and embroidered with golden musical notes around the sleeves, this fine suit provides excellent protection without distracting from a young bard’s ability to amaze their audience with song and verse.""",Using the materials you've gathered you craft together a new piece of armor!,MinstrelCrafts,Novelist Tailcoat,,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,,Scarab Hive,Aquamarine,,,1000,Prosaic Verse,Novelist Tailcoat,
Bandit's Overcoat,271,C,D,A,Yes,35,"""This finely tailored coat is reinforced with a hardy padding, affording greater protection. The pockets have been extended to provide more space for holding stolen gold.""",Using the materials you've gathered you craft together a new piece of armor!,FreelanceArmor,Drudged Waistcoat,,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Tormented Spirit,Tormented Spirit,,Flesh Equation,Gold Bar,,,1000,Bandit's Overcoat,Drudged Waistcoat,
Chartreuse Jerkin,270,C,D,A,Yes,35,"""The Chartreuse leather jerkin is dyed a brilliant green color with natural pigments. The armor carries the earthly aroma from the forest itself. It proves excellent for blending into Syndar’s foliage while you stalk your prey.""",Using the materials you've gathered you craft together a new piece of armor!,DonasCraftsA1,Briar Thread Jerkin,,Ironwood Burden,Ironwood Burden,Ironwood Burden,Crystalline Shard,Crystalline Shard,,Flesh Equation,Sapphire,,,1000,Chartreuse Jerkin,Briar Thread Jerkin,
Romantic Tales,367,C,Bard,A,Yes,39,"""Heart inspiring stories of love won, lost, and won again. Often harrowing adventures involving a powerful protagonist of lore and his love interest, a damsel in distress. A hero can learn a lot from such things and forge himself in such virtues.""",Using the materials you've gathered you craft together a new piece of armor!,MinstrelCrafts,Prosaic Verse,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Scarab Hive,Scarab Hive,Cerussite,,,1000,Romantic Tales,Prosaic Verse,
Mercenary Trenchcoat,336,C,D,A,Yes,37,"""This leather coat reaches nearly to the wearers knees and includes many hidden pockets for the secretive transportation of stolen goods and gold. Heavily padded where protection is needed, surely wearing this coat is both fashionable and practical.""",Using the materials you've gathered you craft together a new piece of armor!,OasisCrafts,Bandit's Overcoat,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Tormented Spirit,Tormented Spirit,Tormented Spirit,Flesh Equation,Flesh Equation,Naqri ,,,1000,Mercenary Trenchcoat,Bandit's Overcoat,
Meritorious Surcoat,269,C,D,A,Yes,37,"""This coat is both decorative and protective, its front lined with intricately designed silver buttons and padding sewn to the inside to protect the wearer from attacks to their person. It is also highly resistant to staining, a true blessing during those late nights in the tavern.""",Using the materials you've gathered you craft together a new piece of armor!,CastleCrafts,Chartreuse Jerkin,Ironwood Burden,Ironwood Burden,Ironwood Burden,Crystalline Shard,Crystalline Shard,Crystalline Shard,Flesh Equation,Flesh Equation,Mithril,,,1000,Meritorious Surcoat,Chartreuse Jerkin,
Chain Mail,5,C,D,A,Yes,28,"""The chain mail is made of tiny rings of metal. It is very solid and should withstand a major blow.""",Using the materials you've gathered you craft together a new piece of armor!,THCraftsA1,Padded Leather Armor,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,,,,,,Topaz,,,1000,Chain Mail,Padded Leather Armor,
Maleficient Chainmail,106,C,Assassin,A,Yes,33,"""Crudely made blackened-steel chains sewn to a darkly cured leather shirt, the chain mail exudes a fearsome aura that should be avoided at all costs. Inevitably, it will corrupt the mind of the wearer as dreadful thoughts enter the mind and heart.""",Using the materials you've gathered you craft together a new piece of armor!,SlayerCrafts,Chain Mail,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,Stack of Steel Plates,Mound of Abhorrent Flesh,Evil Tear,,,Amber,,,1000,Maleficient Chainmail,Chain Mail,
Rogue's Chain,168,C,Thief,A,Yes,34,"""Lightweight mail made from a mesh of small steel rings. Designed with young thieves in mind, the mail is sewn to a lightly padded leather vest to reduce unnecessary clinking.""",Using the materials you've gathered you craft together a new piece of armor!,BrigandCrafts,Chain Mail,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,Stack of Steel Plates,Mithril Stockpile,Heatwave,,,Garnet,,,1000,Rogue's Chain,Chain Mail,
Ancient Chain Mail,106,C,D,A,Yes,33,"""Very old but amazingly well-preserved, this ancient chain armor has been restored to its former glory by most renowned blacksmiths in Syndar. The brilliancy in these chains has returned to their previous glory. Only its make proves its age.""",Using the materials you've gathered you craft together a new piece of armor!,CyprussCraftsA1,Chain Mail,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,Stack of Steel Plates,Satchel of Chess Pieces,Enigmatic Karma,,,Obsidian,,,1000,Ancient Chain Mail,Chain Mail,
Nefarious Chains,106,C,Assassin,A,Yes,35,"""These heavy chains appear dull even under the midday sun. The chain draws all the dark energies the wearer might bear on mind and poisons their souls to become equally as black without any hint of light.""",Using the materials you've gathered you craft together a new piece of armor!,SlayerCrafts,Maleficient Chainmail,,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Evil Tear,Evil Tear,,Flesh Equation,Turquoise,,,1000,Nefarious Chains,Maleficient Chainmail,
