ITEM NAME,ITEM PICTURE,ITEM TYPE (One letter),ITEM CLASS,ITEM RESTRICTION,Decked (Yes/No),DAM MIN (no enchants),DAM MAX (no enchants),BONUS TYPE,BONUS AMOUNT,DESCRIPTION,CRAFT DESC,CRAFT LOCATION,CRAFT REQ#0 PREVIOUS TIER,CRAFT REQ#1,CRAFT REQ#2,CRAFT REQ#3,CRAFT REQ#4,CRAFT REQ#5,CRAFT REQ#6,CRAFT REQ#7,CRAFT REQ#8,CRAFT REQ#9,CRAFT REQ#10,11,Price,ITEM NAME,PARENT,TOOLTIP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rusty Short Sword,9,A,A,A,Yes,5,10,,,"""The inevitable result of leaving weaponry exposed to the erosive nature of weather, this short sword has been dulled with rust. It is hard to imagine that it will do much damage at all.""",,,,,,,,,,,,,,,50,Rusty Short Sword,,
Dull Short Sword,9,A,A,A,Yes,6,11,,,"""Clean and shiny this sword may be, but it's still about as sharp as an intoxicated troll.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Rusty Short Sword,Jug of Ooze Paste,,,,,,,,,,,50,Dull Short Sword,Rusty Short Sword,
Small Sword,9,A,A,A,Yes,7,11,,,"""Barely larger than a dagger, this sword is very sharp and deceptively dangerous.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Dull Short Sword,Jug of Ooze Paste,Jug of Ooze Paste,,,,,,,,,,250,Small Sword,Dull Short Sword,
Bow,281,A,A,A,Yes,7,12,,,"""Made from a sturdy fallen branch which was whittled, soaked, and bent to proper form, this particular bow is a simple but effective ranged weapon.""",Using the materials you've gathered you craft together a new weapon!,StalkerCrafts,Dull Short Sword,Ball of Cotton Thread,Ball of Cotton Thread,,,,,,,,,,250,Bow,Dull Short Sword,
Longsword,9,A,Ranger,A,Yes,8,13,,,"""Standard military grade weaponry produced en masse by the Syndarian Army for a large campaign against the trolls in the past. Though of mediocre value, anyone who has been killed by such a sword can tell you they are effective enough in battle.""",Using the materials you've gathered you craft together a new weapon!,THCraftsW1,Small Sword,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,,,,,,,Emerald,,500,Longsword,Small Sword,
Axe,31,A,B,GT,Yes,8,13,,,"""A chunk of sharpened metal bound with leather to 3 foot length of wood, this axe is very simple and very effective in battle.""",Using the materials you've gathered you craft together a new weapon!,THCraftsW1,Small Sword,Jug of Ooze Paste,Jug of Ooze Paste,Basket of Bones,,,,,,,Ruby,,500,Axe,Small Sword,
Pole-Arm,1,A,A,A,Yes,8,13,,,"""This weapon, designed for close combat is comprised of a long wooden pole with an attached metal plate and sharpened edge, increasing reach and striking power when swung.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Small Sword,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Sylvian Lumber,,,,,,,Amethyst,,500,Pole-Arm,Small Sword,
Longbow,281,A,Ranger,A,Yes,8,13,,,"""This bow is as tall as its wielder and capable of firing armor piercing arrows at tremendous speeds and over great distances.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Bow,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Sylvian Lumber,,,,,,,Topaz,,500,Longbow,Bow,
Blessed Sabre,142,A,A,A,Yes,8,13,Evil,10,"""An exquisite hilt with an engraved hand guard tapers away into a thin, subtly curved blade that radiates with holy magic.""",Using the materials you've gathered you craft together a new weapon!,MorduCraftsW1,Longsword,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Brilliant Box,Crystalline Shard,Holy Aura,,,Malachite,,1000,Blessed Sabre,Longsword,
Obscure Blade,104,A,A,A,Yes,8,12,Night,5,"""One of few superior pieces forged by a blacksmith of impeccable talent, the obscure blade is balanced well and feels good in your hand. The sword is plain looking but handles beyond its store bought equivalent.""",Using the materials you've gathered you craft together a new weapon!,MorduCraftsW1,Longsword,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Mound of Abhorrent Flesh,Evil Tear,Divinus Nox,,,Pearl,,1000,Obscure Blade,Longsword,
Gusty Claymore,102,A,A,A,Yes,8,12,Storm,5,"""When swung, this claymore forms gusts that charge towards the enemy. The fiersome winds will stun the enemy, making it the perfect chance to strike through its defenses.""",Using the materials you've gathered you craft together a new weapon!,MorduCraftsW1,Longsword,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Mithril Stockpile,Tormented Spirit,Divinus Tempus,,,Amber,,1000,Gusty Claymore,Longsword,
Crystal Hatchet,140,A,B,GT,Yes,8,13,Elemental,10,"""This hatchet is made of a crystallized mineral chunk taken from the Crystal Caverns. Held together by sauldurine leathers and a glass handle, this makes an elegant and efficient weapon to use.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW1,Axe,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Furs,Bundle of Furs,Satchel of Chess Pieces,Enigmatic Karma,Intangible Aether,,,Garnet,,1000,Crystal Hatchet,Axe,
Charcoal Double Axe,138,A,B,GT,Yes,8,12,Fire,5,"""It might seem this axe made out of charcoal will break itself upon contact. However, the charcoal double axe is still ignited with fire and will burst flames upon contact.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW1,Axe,Jug of Ooze Paste,Jug of Ooze Paste,Stack of Steel Plates,Stack of Steel Plates,Heap of Husks,Heatwave,Divinus Igneo,,,Obsidian,,1000,Charcoal Double Axe,Axe,
Evil Broadaxe,136,A,B,GT,Yes,9,14,,,"""This enormous axe glows with an evil aura. The wielders thoughts are tarnished and lust for evil and destruction at the slightest touch of this cursed axe.""",Using the materials you've gathered you craft together a new weapon!,CyprussCraftsW1,Axe,Jug of Ooze Paste,Jug of Ooze Paste,Basket of Bones,Basket of Bones,Gloom Box,Shroud of Fear,,,,Malachite,,1000,Evil Broadaxe,Axe,
Quaked Glaive,190,A,A,A,Yes,8,12,Earth,5,"""Both the shaft and the blade are made out of solidified rock. This glaive trembles at the very movement of the earth's seismic motions.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW1,Pole-Arm,Jug of Ooze Paste,Jug of Ooze Paste,Crate of Stone Blocks,Crate of Stone Blocks,Parceled Seed Sprouts,Spirit of the North Star,Divinus Terra,,,Pearl,,1000,Quaked Glaive,Pole-Arm,
Dragon Lance,282,A,A,A,Yes,8,13,Dragon,10,"""This lance excels on its size and weight, meant specifically for piercing wyrms and dragons. Dragons shiver at the presence of this weapon and their scales mysteriously soften when it approaches...""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW1,Pole-Arm,Jug of Ooze Paste,Jug of Ooze Paste,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Dragon Soul Pack,Venomous Kwiksilver,Dragon Artery ,,,Amber,,1000,Dragon Lance,Pole-Arm,
Dew Scythe,95,A,A,A,Yes,8,12,Ice,5,"""This scythe is made out of crystallized droplets.  Sun rays refract prismatic colors, and when swung a large rainbow is reflected in the air, much to the annoyance of orcs, trolls, goblins and other embittered races with a grudge towards displays of beauty and elegance.""",Using the materials you've gathered you craft together a new weapon!,AghorinCraftsW1,Pole-Arm,Jug of Ooze Paste,Jug of Ooze Paste,Satchel of Scales,Satchel of Scales,Water Orb Collective,Collapsed Star,Divinus Aqua,,,Garnet,,1000,Dew Scythe,Pole-Arm,
Hickory Longbow,281,A,Ranger,A,Yes,8,13,Animal,10,"""Nearly 6 feet long and made from the finest hickory in Syndar, this bow is both beautiful and incredibly powerful.""",Using the materials you've gathered you craft together a new weapon!,StalkerCrafts,Longbow,Ball of Cotton Thread,Ball of Cotton Thread,Bundle of Sylvian Lumber,Bundle of Sylvian Lumber,Ironwood Burden,Bone Dust,Liquefied Bone,,,Obsidian,,1000,Hickory Longbow,Longbow,
Bloodwood Crossbow,281,A,Ranger,A,Yes,9,14,Animal,20,"""This elegant crossbow is made entirely out of a crimson wood. Surprisingly, its blood-like color allows it to camouflage very well with its surroundings, allowing for a subtle, yet alarming, strike.""",Using the materials you've gathered you craft together a new weapon!,StalkerCrafts,Hickory Longbow,,Ironwood Burden,Ironwood Burden,Ironwood Burden,Bone Dust,Bone Dust,,Flesh Equation,Liquefied Bone,Aquamarine,,1000,Bloodwood Crossbow,Hickory Longbow,
Torrential Scythe,95,A,A,A,Yes,9,13,Ice,10,"""During an uprising of Terran peasants, an Alustrian mage imbued magicks to convert this farm implement into a deadly water scythe. The scythe comes slashing down invoking a fierce rain, soaking everything in its wake with a magical force.""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW1,Dew Scythe,,Water Orb Collective,Water Orb Collective,Water Orb Collective,Collapsed Star,Collapsed Star,,Violent Essence,Divinus Aqua,Diamond,,1000,Torrential Scythe,Dew Scythe,
Wyrmslayer,282,A,A,A,Yes,9,14,Dragon,20,"""The hostile DragonSpire activities demanded an efficient weapon to take down wyrms. This lance is extremely thin, and made specifically to pierce a dragon's heart. The dragon blood stained on this lance constantly strengthens it, growing stronger after battle.""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW1,Dragon Lance,,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Venomous Kwiksilver,Venomous Kwiksilver,,Dragon Essence,Dragon Artery ,Turquoise,,1000,Wyrmslayer,Dragon Lance,
Glaive of Tremors,190,A,A,A,Yes,9,13,Earth,10,"""Wielders of this stone forged glaive are known to crash this weapon on the floor first before charging against their foes. This glaive emits seismic waves that upon contact cause a trembling, stunning all of those who oppose it.""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW1,Quaked Glaive,,Brilliant Box,Brilliant Box,Brilliant Box,Crystalline Shard,Crystalline Shard,,Obsidian Dust,Divinus Terra,Sapphire,,1000,Glaive of Tremors,Quaked Glaive,
Devil's Broadaxe,136,A,B,GT,Yes,10,15,,,"""This cursed axe has a devil forged on its base, and is made of a rare crimson metal. The demonic carvings seem to block all feelings for love and compassion, making it an efficient weapon for merciless slaughter.""",Using the materials you've gathered you craft together a new weapon!,TiaeiCraftsW1,Evil Broadaxe,,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Evil Tear,Evil Tear,Shadow Spin,Flesh Equation,,Gold Bar,,1000,Devil's Broadaxe,Evil Broadaxe,
Molten Axe,138,A,B,GT,Yes,9,13,Fire,10,"""A blood red weapon of murderous and fiery intent, the Molten Axe is a staggeringly over sized axe constructed from holy lava; that which is blessed by Targosian priests within their secluded Lava Temples.""",Using the materials you've gathered you craft together a new weapon!,TiaeiCraftsW1,Charcoal Double Axe,,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Tormented Spirit,Tormented Spirit,,Violent Essence,Divinus Igneo,Aquamarine,,1000,Molten Axe,Charcoal Double Axe,
Iridescent Hatchet,140,A,B,GT,Yes,9,14,Elemental,20,"""The blade of this stunning hatchet is made out of all the possible colors the eye can perceive. When used it battle, it paints the air with prismatic arcs that boost the morale of the wielder's allies.""",Using the materials you've gathered you craft together a new weapon!,TiaeiCraftsW1,Crystal Hatchet,,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Enigmatic Karma,Enigmatic Karma,,Infinite Puzzle,Intangible Aether,Diamond,,1000,Iridescent Hatchet,Crystal Hatchet,
Tempest Zweihander,102,A,A,A,Yes,9,13,Storm,10,"""This humongous blade requires a very strong arm to use due to its overwhelming weight. However, it uses its own gale to allow its wielder's to hold it steadily and lightly. When struck against a foe, this zweihander yields an almighty tempest, blowing away it's foe.""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW1,Gusty Claymore,,Heap of Husks,Heap of Husks,Heap of Husks,Heatwave,Heatwave,,Dragon Essence,Divinus Tempus,Turquoise,,1000,Tempest Zweihander,Gusty Claymore,
Blade of Woe,104,A,A,A,Yes,9,13,Night,10,"""A somber weapon with an interesting tale, the Blade of Woes is a prominent weapon throughout Syndars history appearing in countless legendary battles. All men who've held this blade carved their grand stories into history but met equally terrifying ends. Perhaps a curse...""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW1,Obscure Blade,,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,,Obsidian Dust,Divinus Nox,Sapphire,,1000,Blade of Woe,Obscure Blade,
Sacred Edge,326,A,A,A,Yes,9,14,Evil,20,"""The product of years of constant blessing by the highest priests, this shimmering sword is said to be used in times where the greatest evil rises. If held close to the ear, the echos of these mighty chants can still be heard...""",Using the materials you've gathered you craft together a new weapon!,FLCraftsW1,Blessed Sabre,,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,,Scarab Hive,Holy Aura,Gold Bar,,1000,Sacred Edge,Blessed Sabre,
Angelic Greatsword,213,A,A,A,Yes,10,15,Evil,30,"""This incredible light forged greatsword stands out not only for it's brilliance, but for its majestic hilt as well. The handle is made out of actual seraph feathers and a gleaming halo stands out at the edge of the hilt. Claims have been made that feathers burst out in marvel when this sword vanquishes evil.""",Using the materials you've gathered you craft together a new weapon!,HolyGroundCrafts,Sacred Sabre,Brilliant Box,Brilliant Box,Brilliant Box,Crystalline Shard,Crystalline Shard,Crystalline Shard,Scarab Hive,Scarab Hive,Holy Aura,Cerussite,,1000,Angelic Greatsword,Sacred Edge,
Valestian,104,A,A,A,Yes,10,14,Night,15,"""This is the infamous sword that Draishton used to murder his wife. It is said the only person to have suffered as much as Valest was Nallyssa herself. The blood stains left from this vicious act, blended with her eternal grief, have materialized this fearsome sword.""",Using the materials you've gathered you craft together a new weapon!,NightCrafts,Blade of Woe,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Mound of Abhorrent Flesh,Evil Tear,Evil Tear,Evil Tear,Obsidian Dust,Obsidian Dust,Divinus Nox,Naqri ,,1000,Valestian,Blade of Woe,
Skyblade,102,A,A,A,Yes,10,14,Storm,15,"""Legends claim a man once caught lightning within his bare hands and forged this exquisitely designed blade. Upon contact, the skyblade unleashes a fearsome shock, striking even the most resistant materials. Upon closer inspection, clouds seem to be floating within the blade, perhaps a reflection of the sky itself.""",Using the materials you've gathered you craft together a new weapon!,StormCrafts,Tempest Zweihander,Mithril Stockpile,Mithril Stockpile,Mithril Stockpile,Tormented Spirit,Tormented Spirit,Tormented Spirit,Dragon's Essence,Dragon's Essence,Divinus Tempus,Mithril,,1000,Skyblade,Tempest Zweihander,
Brilliant Prismaxe,140,A,B,GT,Yes,10,15,Elemental,30,"""This prismaxe is forged with the most delicate minerals taken from the Nyx Caverns and combined with the finest naqri from the mines of Seyil. When used in battle, arcs of light are drawn in the air, blinding some and charming others before this axe is struck down on them.""",Using the materials you've gathered you craft together a new weapon!,CrystalCrafts,Iridescent Hatchet,Satchel of Chess Pieces,Satchel of Chess Pieces,Satchel of Chess Pieces,Enigmatic Karma,Enigmatic Karma,Enigmatic Karma,Infinite Puzzle,Infinite Puzzle,Intangible Aether,Liriumite,,1000,Brilliant Prismaxe,Iridescent Hatchet,
Inferno's Divide,138,A,B,GT,Yes,10,14,Fire,15,"""Extreme caution must be employed when using this dangerous weapon, as anything its blade gets a grasp on can potentially turn into ashes. The rage of the flames bursting from this axe is said to be Targos itself, cursing at his wife for a betrayal beyond precedence.""",Using the materials you've gathered you craft together a new weapon!,FireCrafts,Molten Axe,Heap of Husks,Heap of Husks,Heap of Husks,Heatwave,Heatwave,Heatwave,Violent Essence,Violent Essence,Divinus Igneo,Cerussite,,1000,Inferno's Divide,Molten Axe,
Malevolence,136,A,B,GT,Yes,11,16,,,"""This heavy axe, forged entirely from blackened steel, seems to whisper to the wielder in an evil voice with every swing of its large blade. The axe is extremely maneuverable for its size and weight, almost seeming to seek the very lifeblood of whatever has been made its enemy.""",Using the materials you've gathered you craft together a new weapon!,CataCrafts,Devil's Broadaxe,Gloom Box,Gloom Box,Gloom Box,Shroud of Fear,Shroud of Fear,Shroud of Fear,Flesh Equation,Flesh Equation,,Naqri ,,1000,Malevolence,Devil's Broadaxe,
Fissure Partizan,190,A,A,A,Yes,10,14,Earth,15,"""This spectacular weapon is capable of creating the most impressive fissures on the planet's crust. Its slightest plunge causes the earth to tremble, destabilizing those who oppose it. Wielders must use caution; striking too hard may alter the foundations of nature...""",Using the materials you've gathered you craft together a new weapon!,EarthCrafts,Glaive of Tremors,Parceled Seed Sprouts,Parceled Seed Sprouts,Parceled Seed Sprouts,Spirit of the North Star,Spirit of the North Star,Spirit of the North Star,Obsidian Dust,Obsidian Dust,Divinus Terra,Mithril,,1000,Fissure Partizan,Glaive of Tremors,
Theagan's Might,282,A,A,A,Yes,10,15,Dragon,30,"""King Theagan ordered the best smiths in the land to craft the most fearsome weapon for dragon slaying. This enormous crimson lance guards the ultimate secret to vanquish wyrms: pouring dragon blood over the lance over and over again during the forging process. Dragons yield a fearsome cry when this lance pierces their defenses.""",Using the materials you've gathered you craft together a new weapon!,DspireCrafts,Wyrmslayer,Dragon Soul Pack,Dragon Soul Pack,Dragon Soul Pack,Venomous Kwiksilver,Venomous Kwiksilver,Venomous Kwiksilver,Dragon Essence,Dragon Essence,Dragon Artery ,Liriumite,,1000,Theagan's Might,Wyrmslayer,
Ocean's Crescent,95,A,A,A,Yes,10,14,Ice,15,"""This crescent is said to hide the essence of the ocean currents along the Sealight Plateau. When employed, these ocean currents consolidate into one big tidal wave and wash away everything within its path.""",Using the materials you've gathered you craft together a new weapon!,IceCrafts,Torrential Scythe,Water Orb Collective,Water Orb Collective,Water Orb Collective,Collapsed Star,Collapsed Star,Collapsed Star,Violent Essence,Violent Essence,Divinus Aqua,Cerussite,,1000,Ocean's Crescent,Torrential Scythe,
Hunter's Arbalest,281,A,Ranger,A,Yes,11,16,Animal,30,"""This marvelous crossbow is carved from the oldest oaktrees from the Forests of Seyil. This arbalest is so delicately craft, one cannot hear the bolts pass as they are shot. This makes it an optimal weapon for hunting wild beasts and going unnoticed at the same time.""",Using the materials you've gathered you craft together a new weapon!,StalkerCrafts,Bloodwood Crossbow,Ironwood Burden,Ironwood Burden,Ironwood Burden,Bone Dust,Bone Dust,Bone Dust,Flesh Equation,Flesh Equation,Liquefied Bone,Naqri ,,1000,Hunter's Arbalest,Bloodwood Crossbow,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rusty Dagger,12,A,C,A,Yes,3,6,,,"""Aged and nearly without edge, the rust blistered blade long ago began to flake and crumble. It can hardly be considered a dagger, rather it would be more effective as a paperweight.""",,,,,,,,,,,,,,,50,Rusty Dagger,,
Dagger,12,A,C,A,Yes,4,7,,,"""A simple looking dagger with a worn blade. At one time this may have been capable of being used effectively, but that time has surely passed.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Rusty Dagger,Jug of Ooze Paste,,,,,,,,,,,50,Dagger,Rusty Dagger,
Iron Dagger,12,A,C,A,Yes,5,8,,,"""Wrought of iron ore in the Dwarven mines many years ago.""",Using the materials you've gathered you craft together a new weapon!,TerraCraftsW1,Dagger,Jug of Ooze Paste,Jug of Ooze Paste,,,,,,,,,,100,Iron Dagger,Dagger,
Steel Dagger,12,A,C,A,Yes,5,10,,,"""This dagger is heavy and forged entirely of steel. It is extremely precise in manufacture.""",Using the materials you've gathered you craft together a new weapon!,DuskanCraftsW1,Iron Dagger,Jug of Greenskin Glue,Jug of Greenskin Glue,Stack of Steel Plates,,,,,,,Emerald,,100,Steel Dagger,Iron Dagger,
